Rank,Company Name,Number of Employees,Change in Rank,Revenues ($millions),Revenue Change,Profits ($millions),Profit Change,Assets ($millions),Market Value As of 3/29/19 ($m),Year
199,Monsanto,"21,900",204,"$14,640.00",8.40%,"$2,260.00",69.20%,"$21,333.00","$51,444.00",2018
200,Aramark,"215,000",192,"$14,604.00",1.30%,$373.90,29.90%,"$11,006.00","$9,725.00",2018
201,Applied Materials,"18,400",265,"$14,537.00",34.30%,"$3,434.00",99.50%,"$19,419.00","$58,429.00",2018
202,Waste Management,"42,300",201,"$14,485.00",6.40%,"$1,949.00",64.90%,"$21,829.00","$36,372.00",2018
203,DISH Network,"17,000",186,"$14,391.00",-4.70%,"$2,098.70",44.80%,"$29,774.00","$17,682.00",2018
204,Illinois Tool Works,"50,000",202,"$14,314.00",5.30%,"$1,687.00",-17.10%,"$16,780.00","$53,142.00",2018
205,Lincoln National,"9,047",207,"$14,257.00",7.00%,"$2,079.00",74.40%,"$281,763.00","$15,946.00",2018
206,HollyFrontier,"3,522",274,"$14,251.00",35.30%,$805.40,-,"$10,692.00","$8,650.00",2018
207,CBRE Group,"80,000",214,"$14,210.00",8.70%,$691.50,20.90%,"$11,484.00","$16,042.00",2018
208,Textron,"37,000",200,"$14,198.00",3.00%,$307.00,-68.10%,"$15,340.00","$15,293.00",2018
209,Ross Stores,"82,700",219,"$14,135.00",9.90%,"$1,362.80",21.90%,"$5,722.00","$29,800.00",2018
210,Principal Financial,"15,378",227,"$14,093.00",13.70%,"$2,310.40",75.50%,"$253,941.00","$17,643.00",2018
211,D.R. Horton,"7,735",232,"$14,091.00",15.90%,"$1,038.40",17.20%,"$12,185.00","$16,480.00",2018
212,Marsh & McLennan,"64,000",210,"$14,024.00",6.20%,"$1,492.00",-15.60%,"$20,429.00","$41,924.00",2018
213,Devon Energy,"3,414",231,"$13,949.00",14.40%,$898.00,-,"$30,241.00","$16,725.00",2018
214,AES,"10,500",194,"$13,850.00",-3.10%,"-$1,161.00",-,"$33,112.00","$7,510.00",2018
215,Ecolab,"48,400",211,"$13,838.00",5.20%,"$1,508.40",22.70%,"$19,962.00","$39,524.00",2018
216,Land O’Lakes,"10,000",209,"$13,740.00",3.80%,$314.20,28.30%,"$9,509.00",-,2018
217,Loews,"18,100",213,"$13,735.00",4.80%,"$1,164.00",78.00%,"$79,586.00","$16,134.00",2018
218,Kinder Morgan,"10,897",215,"$13,705.00",5.00%,$183.00,-74.20%,"$79,055.00","$33,223.00",2018
219,FirstEnergy,"15,617",196,"$13,627.00",-3.70%,"-$1,724.00",-,"$42,257.00","$16,175.00",2018
220,Occidental Petroleum,"11,000",278,"$13,274.00",27.70%,"$1,311.00",-,"$42,026.00","$49,738.00",2018
221,Viacom,"11,200",224,"$13,263.00",6.20%,"$1,874.00",30.30%,"$23,698.00","$12,919.00",2018
222,PayPal Holdings,"18,700",264,"$13,094.00",20.80%,"$1,795.00",28.10%,"$40,774.00","$91,056.00",2018
223,NGL Energy Partners,"2,700",237,"$13,022.00",10.90%,$137.00,-,"$6,320.00","$1,332.00",2018
224,Celgene,"7,467",254,"$13,003.00",15.80%,"$2,940.00",47.10%,"$30,141.00","$67,102.00",2018
225,Arconic,"41,500",228,"$12,960.00",4.60%,-$74.00,-,"$18,718.00","$11,124.00",2018
226,Kellogg,"32,944",216,"$12,923.00",-0.70%,"$1,269.00",82.90%,"$16,350.00","$22,532.00",2018
227,Las Vegas Sands,"50,500",249,"$12,882.00",12.90%,"$2,806.00",68.00%,"$20,687.00","$56,721.00",2018
228,Stanley Black & Decker,"57,765",250,"$12,747.00",11.70%,"$1,226.00",27.00%,"$19,080.00","$23,610.00",2018
229,Booking Holdings,"22,900",268,"$12,681.00",18.00%,"$2,340.80",9.60%,"$25,451.00","$100,459.00",2018
230,Lennar,"9,111",260,"$12,646.00",15.50%,$810.50,-11.10%,"$18,745.00","$18,738.00",2018
231,L Brands,"59,200",220,"$12,632.00",0.50%,$983.00,-15.10%,"$8,149.00","$10,655.00",2018
232,DTE Energy,"10,200",272,"$12,607.00",18.60%,"$1,134.00",30.60%,"$33,767.00","$18,760.00",2018
233,Dominion Energy,"16,200",238,"$12,586.00",7.20%,"$2,999.00",41.30%,"$76,585.00","$45,344.00",2018
234,Reinsurance Group of America,"2,640",246,"$12,516.00",8.60%,"$1,822.20",159.80%,"$60,515.00","$9,930.00",2018
235,J.C. Penney,"98,000",221,"$12,506.00",-0.30%,-$116.00,-11700.00%,"$8,413.00",$943.00,2018
236,Mastercard,"13,400",267,"$12,497.00",16.00%,"$3,915.00",-3.50%,"$21,329.00","$184,161.00",2018
237,BlackRock,"13,900",255,"$12,491.00",12.00%,"$4,970.00",56.70%,"$220,217.00","$87,065.00",2018
238,Henry Schein,"22,000",243,"$12,462.00",7.70%,$406.30,-19.80%,"$7,811.00","$10,330.00",2018
239,Guardian Life Ins. Co. of America,"9,283",218,"$12,455.00",-3.60%,$455.30,72.50%,"$75,038.00",-,2018
240,Stryker,"33,000",252,"$12,444.00",9.90%,"$1,020.00",-38.10%,"$22,197.00","$60,041.00",2018
241,Jefferies Financial Group,"12,700",262,"$12,408.00",14.10%,$171.70,32.10%,"$47,169.00","$8,098.00",2018
242,VF,"69,000",230,"$12,400.00",1.60%,$614.90,-42.80%,"$9,959.00","$29,403.00",2018
243,ADP,"58,000",240,"$12,380.00",6.10%,"$1,733.40",16.10%,"$37,180.00","$50,302.00",2018
244,Edison International,"12,521",235,"$12,320.00",3.80%,$565.00,-56.90%,"$52,580.00","$20,741.00",2018
245,Biogen,"7,300",248,"$12,274.00",7.20%,"$2,539.10",-31.40%,"$23,653.00","$57,930.00",2018
246,United States Steel,"29,200",279,"$12,250.00",19.40%,$387.00,-,"$9,862.00","$6,200.00",2018
247,Core-Mark Holding,"8,413",247,"$12,225.00",6.20%,$33.50,-38.20%,"$1,783.00",$981.00,2018
248,Bed Bath & Beyond,"65,000",233,"$12,216.00",0.90%,$685.10,-18.60%,"$6,846.00","$2,989.00",2018
249,Oneok,"2,470",312,"$12,174.00",36.50%,$387.80,10.20%,"$16,846.00","$23,373.00",2018
250,BB&T Corp.,"36,484",245,"$12,156.00",5.40%,"$2,394.00",-1.30%,"$221,642.00","$40,454.00",2018
251,Becton Dickinson,"41,933",225,"$12,093.00",-3.10%,"$1,100.00",12.70%,"$37,734.00","$57,695.00",2018
252,Ameriprise Financial,"13,312",239,"$12,075.00",2.90%,"$1,480.00",12.60%,"$147,470.00","$21,613.00",2018
253,Farmers Insurance Exchange,"13,015",222,"$12,072.00",-3.50%,-$65.40,-,"$16,165.00",-,2018
254,First Data,"22,000",242,"$12,052.00",4.00%,"$1,465.00",248.80%,"$48,269.00","$14,865.00",2018
255,Consolidated Edison,"15,591",234,"$12,033.00",-0.30%,"$1,525.00",22.50%,"$48,111.00","$24,192.00",2018
256,Parker-Hannifin,"56,690",251,"$12,029.00",5.90%,$983.40,21.90%,"$15,490.00","$22,755.00",2018
257,Anadarko Petroleum,"4,400",344,"$11,908.00",51.30%,-$456.00,-,"$42,086.00","$31,131.00",2018
258,Estee Lauder,"46,000",253,"$11,824.00",5.00%,"$1,249.00",12.10%,"$11,568.00","$55,064.00",2018
259,State Street Corp.,"36,643",271,"$11,774.00",10.70%,"$2,177.00",1.60%,"$238,425.00","$36,688.00",2018
260,Tesla,"37,543",383,"$11,759.00",68.00%,"-$1,961.40",-,"$28,655.00","$44,955.00",2018
261,Netflix,"5,100",314,"$11,693.00",32.40%,$558.90,199.40%,"$19,013.00","$128,167.00",2018
262,Alcoa,"14,600",300,"$11,652.00",25.00%,$217.00,-,"$17,447.00","$8,372.00",2018
263,Discover Financial Services,"16,500",277,"$11,545.00",10.00%,"$2,099.00",-12.30%,"$100,087.00","$25,431.00",2018
264,Praxair,"26,461",275,"$11,437.00",8.60%,"$1,247.00",-16.90%,"$20,436.00","$41,434.00",2018
265,CSX,"24,006",257,"$11,408.00",3.10%,"$5,471.00",219.20%,"$35,739.00","$49,428.00",2018
266,Xcel Energy,"11,105",256,"$11,404.00",2.70%,"$1,148.00",2.20%,"$43,030.00","$23,107.00",2018
267,Unum Group,"9,400",258,"$11,287.00",2.20%,$994.20,6.70%,"$64,013.00","$10,530.00",2018
268,Universal Health Services,"72,300",276,"$11,279.00",7.30%,$752.30,7.10%,"$10,762.00","$11,163.00",2018
269,NRG Energy,"5,940",229,"$11,275.00",-8.70%,"-$2,153.00",-,"$23,318.00","$9,698.00",2018
270,EOG Resources,"2,664",356,"$11,208.00",46.50%,"$2,582.60",-,"$29,833.00","$60,913.00",2018
271,Sempra Energy,"16,046",280,"$11,207.00",10.10%,$256.00,-81.30%,"$50,454.00","$29,351.00",2018
272,Toys “R” Us,"65,000",244,"$11,146.00",-3.40%,-$612.00,-,"$7,262.00",-,2018
273,Group 1 Automotive,"14,108",261,"$11,124.00",2.20%,$213.40,45.10%,"$4,871.00","$1,366.00",2018
274,Entergy,"13,504",263,"$11,075.00",2.10%,$411.60,-,"$46,707.00","$14,298.00",2018
275,Molson Coors Brewing,"17,200",522,"$11,003.00",125.20%,"$1,414.20",-28.40%,"$30,247.00","$16,238.00",2018
276,L3 Technologies,"38,000",273,"$11,002.00",3.80%,$677.00,-4.60%,"$12,729.00","$16,283.00",2018
277,Ball,"18,300",306,"$10,983.00",21.20%,$374.00,42.20%,"$17,169.00","$13,920.00",2018
278,AutoZone,"70,035",270,"$10,889.00",2.40%,"$1,280.90",3.20%,"$9,260.00","$17,450.00",2018
279,Murphy USA,"6,900",291,"$10,853.00",12.70%,$245.30,10.70%,"$2,331.00","$2,440.00",2018
280,MGM Resorts International,"68,500",297,"$10,774.00",13.90%,"$1,960.30",78.00%,"$29,159.00","$19,844.00",2018
281,Office Depot,"45,000",203,"$10,752.00",-20.90%,$181.00,-65.80%,"$6,323.00","$1,195.00",2018
282,Huntsman,"10,000",289,"$10,592.00",9.70%,$636.00,95.10%,"$10,244.00","$7,090.00",2018
283,Baxter International,"47,000",281,"$10,561.00",3.90%,$717.00,-85.60%,"$17,111.00","$34,979.00",2018
284,Norfolk Southern,"27,110",284,"$10,551.00",6.70%,"$5,404.00",224.00%,"$35,711.00","$41,226.00",2018
285,salesforce.com,"29,000",326,"$10,480.00",24.90%,$127.50,-29.00%,"$21,010.00","$85,074.00",2018
286,Laboratory Corp. of America,"60,000",290,"$10,441.00",8.30%,"$1,268.20",73.20%,"$16,568.00","$16,482.00",2018
287,W.W. Grainger,"25,050",282,"$10,425.00",2.80%,$585.70,-3.30%,"$5,804.00","$15,823.00",2018
288,Qurate Retail,"28,255",269,"$10,404.00",-2.30%,"$2,441.00",97.70%,"$24,122.00","$12,587.00",2018
289,Autoliv,"67,352",283,"$10,383.00",3.10%,$427.10,-24.70%,"$8,550.00","$12,710.00",2018
290,Live Nation Entertainment,"15,050",330,"$10,337.00",23.70%,-$6.00,-304.50%,"$7,504.00","$8,772.00",2018
291,Xerox,"36,100",162,"$10,265.00",-40.10%,$195.00,-,"$15,946.00","$7,330.00",2018
292,Leidos Holdings,"31,000",381,"$10,170.00",44.40%,$366.00,50.00%,"$8,990.00","$9,918.00",2018
293,Corning,"46,200",298,"$10,116.00",7.70%,-$497.00,-113.50%,"$27,494.00","$23,677.00",2018
294,Lithia Motors,"12,899",318,"$10,087.00",16.20%,$245.20,24.40%,"$4,683.00","$2,515.00",2018
295,Expedia Group,"22,615",317,"$10,060.00",14.70%,$378.00,34.10%,"$18,516.00","$16,764.00",2018
296,Republic Services,"35,000",299,"$10,042.00",7.00%,"$1,278.40",108.70%,"$21,147.00","$21,832.00",2018
297,Jacobs Engineering Group,"49,750",259,"$10,023.00",-8.60%,$293.70,39.60%,"$7,381.00","$8,380.00",2018
298,Sonic Automotive,"9,750",287,"$9,867.00",1.40%,$93.00,-0.20%,"$3,819.00",$804.00,2018
299,Ally Financial,"7,900",286,"$9,866.00",0.30%,$929.00,-12.90%,"$167,148.00","$11,767.00",2018
300,LKQ,"43,000",304,"$9,848.00",8.40%,$533.70,15.00%,"$9,367.00","$11,750.00",2018
301,BorgWarner,"29,000",305,"$9,799.00",8.00%,$439.90,271.20%,"$9,788.00","$10,586.00",2018
302,Fidelity National Financial,"24,525",293,"$9,769.00",2.30%,$771.00,18.60%,"$9,151.00","$10,983.00",2018
303,SunTrust Banks,"23,785",303,"$9,741.00",6.30%,"$2,273.00",21.00%,"$205,962.00","$31,863.00",2018
304,IQVIA Holdings,"55,000",390,"$9,739.00",41.60%,"$1,309.00",1038.30%,"$22,742.00","$20,433.00",2018
305,Reliance Steel & Aluminum,"14,900",320,"$9,721.00",12.90%,$613.40,101.60%,"$7,751.00","$6,244.00",2018
306,Nvidia,"11,528",387,"$9,714.00",40.60%,"$3,047.00",82.90%,"$11,241.00","$140,112.00",2018
307,Voya Financial,"6,300",266,"$9,660.00",-10.40%,"-$2,992.00",-,"$222,532.00","$8,686.00",2018
308,CenterPoint Energy,"7,977",362,"$9,614.00",27.70%,"$1,792.00",314.80%,"$22,736.00","$11,822.00",2018
309,eBay,"14,100",310,"$9,567.00",6.50%,"-$1,016.00",-114.00%,"$25,981.00","$40,726.00",2018
310,Eastman Chemical,"14,000",309,"$9,549.00",6.00%,"$1,384.00",62.10%,"$15,999.00","$15,073.00",2018
311,American Family Insurance Group,"11,307",315,"$9,545.00",8.10%,$155.60,-52.20%,"$24,233.00",-,2018
312,Steel Dynamics,"7,635",347,"$9,539.00",22.70%,$812.70,112.70%,"$6,856.00","$10,444.00",2018
313,Pacific Life,"3,578",302,"$9,510.00",3.70%,"$1,365.00",65.70%,"$157,877.00",-,2018
314,Chesapeake Energy,"3,200",343,"$9,496.00",20.60%,$949.00,-,"$12,425.00","$2,746.00",2018
315,Mohawk Industries,"38,800",311,"$9,491.00",5.90%,$971.60,4.40%,"$12,095.00","$17,283.00",2018
316,Quanta Services,"32,800",355,"$9,467.00",23.70%,$315.00,58.80%,"$6,480.00","$5,281.00",2018
317,Advance Auto Parts,"55,500",292,"$9,374.00",-2.00%,$475.50,3.50%,"$8,482.00","$8,770.00",2018
318,Owens & Minor,"8,600",288,"$9,318.00",-4.20%,$72.80,-33.10%,"$3,376.00",$961.00,2018
319,United Natural Foods,"9,700",325,"$9,275.00",9.50%,$130.20,3.50%,"$2,887.00","$2,165.00",2018
320,Tenneco,"32,000",322,"$9,274.00",7.80%,$207.00,-41.90%,"$4,842.00","$2,822.00",2018
321,Conagra Brands,"12,600",197,"$9,235.00",-34.70%,$639.30,-,"$10,096.00","$14,776.00",2018
322,GameStop,"39,500",321,"$9,225.00",7.20%,$34.70,-90.20%,"$5,042.00","$1,279.00",2018
323,Hormel Foods,"20,200",295,"$9,168.00",-3.70%,$846.70,-4.90%,"$6,976.00","$18,174.00",2018
324,Hilton Worldwide Holdings,"163,000",241,"$9,140.00",-21.60%,"$1,259.00",261.80%,"$14,308.00","$24,957.00",2018
325,Frontier Communications,"22,736",313,"$9,128.00",2.60%,"-$1,804.00",-,"$24,884.00",$582.00,2018
326,Fidelity National Information Services,"53,000",301,"$9,123.00",-1.30%,"$1,319.00",132.20%,"$24,517.00","$31,893.00",2018
327,Public Service Enterprise Group,"12,945",306,"$9,084.00",0.30%,"$1,574.00",77.50%,"$42,716.00","$25,359.00",2018
328,Boston Scientific,"29,000",327,"$9,048.00",7.90%,$104.00,-70.00%,"$19,042.00","$37,688.00",2018
329,O’Reilly Automotive,"60,365",323,"$8,978.00",4.50%,"$1,133.80",9.30%,"$7,572.00","$20,607.00",2018
330,Charles Schwab,"17,600",357,"$8,960.00",17.20%,"$2,354.00",24.60%,"$243,274.00","$70,313.00",2018
331,Global Partners,"2,000",334,"$8,921.00",8.30%,$58.80,-,"$2,320.00",$522.00,2018
332,PVH,"28,050",335,"$8,915.00",8.70%,$537.80,-2.00%,"$11,886.00","$11,649.00",2018
333,Avis Budget Group,"26,300",319,"$8,848.00",2.20%,$361.00,121.50%,"$17,699.00","$3,792.00",2018
334,Targa Resources,"2,130",402,"$8,815.00",31.70%,$54.00,-,"$14,389.00","$9,629.00",2018
335,Hertz Global Holdings,"37,000",296,"$8,803.00",-7.10%,$327.00,-,"$20,058.00","$1,662.00",2018
336,Calpine,"2,290",400,"$8,752.00",30.30%,-$339.00,-468.50%,"$16,453.00",-,2018
337,Mutual of Omaha Insurance,"5,896",342,"$8,732.00",10.60%,$862.60,141.90%,"$42,429.00",-,2018
338,Crown Holdings,"24,342",333,"$8,698.00",5.00%,$323.00,-34.90%,"$10,663.00","$6,816.00",2018
339,Peter Kiewit Sons’,"22,000",324,"$8,678.00",1.20%,$371.00,-6.30%,"$5,710.00",-,2018
340,Dick’s Sporting Goods,"30,300",340,"$8,591.00",8.40%,$323.40,12.50%,"$4,204.00","$3,765.00",2018
341,PulteGroup,"4,810",353,"$8,573.00",11.80%,$447.20,-25.80%,"$9,687.00","$8,439.00",2018
342,Navistar International,"11,400",337,"$8,570.00",5.70%,$30.00,-,"$6,135.00","$3,451.00",2018
343,Thrivent Financial for Lutherans,"3,622",316,"$8,528.00",-2.80%,$558.40,-5.00%,"$95,001.00",-,2018
344,DCP Midstream,"2,650",-,"$8,462.00",465.30%,$229.00,-26.60%,"$13,878.00","$5,033.00",2018
345,Air Products & Chemicals,"15,150",294,"$8,442.00",-11.40%,"$3,000.40",375.40%,"$18,467.00","$34,818.00",2018
346,Veritiv,"8,900",331,"$8,365.00",0.50%,-$13.30,-163.30%,"$2,708.00",$617.00,2018
347,AGCO,"20,462",370,"$8,307.00",12.10%,$186.40,16.40%,"$7,972.00","$5,157.00",2018
348,Genworth Financial,"3,500",329,"$8,295.00",-0.90%,$817.00,-,"$105,297.00","$1,413.00",2018
349,Univar,"8,600",338,"$8,254.00",2.20%,$119.80,-,"$5,733.00","$3,920.00",2018
350,News Corp.,"26,000",332,"$8,139.00",-2.20%,-$738.00,-512.30%,"$14,552.00","$9,272.00",2018
351,SpartanNash,"11,950",350,"$8,128.00",5.10%,-$52.80,-193.00%,"$2,056.00",$620.00,2018
352,Westlake Chemical,"8,799",507,"$8,041.00",58.40%,"$1,304.00",226.90%,"$12,076.00","$14,385.00",2018
353,Williams,"5,425",367,"$8,031.00",7.10%,"$2,174.00",-,"$46,352.00","$20,567.00",2018
354,Lam Research,"9,400",440,"$8,014.00",36.10%,"$1,697.80",85.70%,"$12,123.00","$33,105.00",2018
355,Alaska Air Group,"23,156",438,"$7,933.00",33.80%,"$1,034.00",27.00%,"$10,740.00","$7,646.00",2018
356,Jones Lang LaSalle,"81,900",391,"$7,932.00",16.60%,$254.20,-20.10%,"$8,015.00","$7,930.00",2018
357,Anixter International,"8,900",359,"$7,927.00",4.00%,$109.00,-9.50%,"$4,252.00","$2,522.00",2018
358,Campbell Soup,"18,000",339,"$7,890.00",-0.90%,$887.00,57.50%,"$7,726.00","$13,021.00",2018
359,Interpublic Group,"50,200",345,"$7,882.00",0.50%,$579.00,-4.80%,"$12,695.00","$8,854.00",2018
360,Dover,"29,000",392,"$7,830.00",15.20%,$811.70,59.50%,"$10,658.00","$15,183.00",2018
361,Zimmer Biomet Holdings,"18,200",352,"$7,824.00",1.80%,"$1,813.80",492.90%,"$25,965.00","$22,151.00",2018
362,Dean Foods,"16,000",351,"$7,795.00",1.10%,$61.60,-48.60%,"$2,504.00",$787.00,2018
363,Foot Locker,"32,175",348,"$7,782.00",0.20%,$284.00,-57.20%,"$3,961.00","$5,379.00",2018
364,Eversource Energy,"8,084",358,"$7,752.00",1.50%,$988.00,4.80%,"$36,220.00","$18,671.00",2018
365,Alliance Data Systems,"20,000",378,"$7,719.00",8.10%,$788.70,52.90%,"$30,685.00","$11,806.00",2018
366,Fifth Third Bancorp,"18,125",389,"$7,713.00",12.00%,"$2,194.00",40.30%,"$142,193.00","$21,812.00",2018
367,Quest Diagnostics,"45,000",366,"$7,709.00",2.60%,$772.00,19.70%,"$10,503.00","$13,619.00",2018
368,EMCOR Group,"32,000",360,"$7,688.00",1.80%,$227.20,24.90%,"$3,966.00","$4,549.00",2018
369,W.R. Berkley,"7,722",354,"$7,685.00",0.40%,$549.10,-8.80%,"$24,300.00","$8,836.00",2018
370,WESCO International,"9,100",373,"$7,679.00",4.70%,$163.50,60.90%,"$4,736.00","$2,920.00",2018
371,Coty,"22,000",558,"$7,650.00",75.90%,-$422.20,-369.10%,"$22,548.00","$13,723.00",2018
372,WEC Energy Group,"8,129",368,"$7,649.00",2.40%,"$1,203.70",28.20%,"$31,591.00","$19,784.00",2018
373,Masco,"26,000",372,"$7,644.00",3.90%,$533.00,8.60%,"$5,488.00","$12,590.00",2018
374,DXC Technology,"60,000",-,"$7,607.00",7.10%,-$123.00,-149.00%,"$8,663.00","$28,720.00",2018
375,Auto-Owners Insurance,"5,227",398,"$7,604.00",12.20%,$645.70,-8.60%,"$23,694.00",-,2018
376,Jones Financial (Edward Jones),"45,000",403,"$7,597.00",14.60%,$872.00,16.90%,"$17,176.00",-,2018
377,Liberty Media,"4,393",491,"$7,594.00",43.90%,"$1,354.00",99.10%,"$41,996.00","$13,816.00",2018
378,Erie Insurance Group,"5,260",382,"$7,535.00",7.40%,$857.50,15.60%,"$20,670.00",-,2018
379,Hershey,"16,135",369,"$7,515.00",1.00%,$783.00,8.70%,"$5,554.00","$20,774.00",2018
380,PPL,"12,512",365,"$7,447.00",-0.90%,"$1,128.00",-40.70%,"$41,479.00","$19,635.00",2018
381,Huntington Ingalls Industries,"38,000",380,"$7,441.00",5.30%,$479.00,-16.40%,"$6,374.00","$11,539.00",2018
382,Mosaic,"8,500",377,"$7,409.00",3.40%,-$107.20,-136.00%,"$18,633.00","$9,358.00",2018
383,J.M. Smucker,"7,140",346,"$7,392.00",-5.40%,$592.30,-14.00%,"$15,640.00","$14,087.00",2018
384,Delek US Holdings,"3,941",480,"$7,350.00",35.70%,$288.80,-,"$5,935.00","$3,416.00",2018
385,Newmont Mining,"12,569",328,"$7,348.00",-12.30%,-$98.00,-,"$20,563.00","$20,853.00",2018
386,Constellation Brands,"8,700",408,"$7,332.00",12.00%,"$1,535.10",45.50%,"$18,602.00","$44,379.00",2018
387,Ryder System,"36,100",394,"$7,330.00",8.00%,$790.60,201.20%,"$11,452.00","$3,867.00",2018
388,National Oilwell Varco,"31,605",375,"$7,304.00",0.70%,-$237.00,-,"$20,206.00","$13,993.00",2018
389,Adobe Systems,"17,973",443,"$7,302.00",24.70%,"$1,694.00",44.90%,"$14,536.00","$106,413.00",2018
390,LifePoint Health,"42,000",374,"$7,263.00",-0.10%,$102.40,-16.00%,"$6,286.00","$1,832.00",2018
391,Tractor Supply,"21,000",396,"$7,256.00",7.00%,$422.60,-3.30%,"$2,869.00","$7,807.00",2018
392,Thor Industries,"17,800",540,"$7,247.00",58.20%,$374.30,45.90%,"$2,558.00","$6,069.00",2018
393,Dana,"30,100",447,"$7,209.00",23.70%,$111.00,-82.70%,"$5,644.00","$3,741.00",2018
394,Weyerhaeuser,"9,300",341,"$7,196.00",-8.90%,$582.00,-43.30%,"$18,059.00","$26,463.00",2018
395,J.B. Hunt Transport Services,"24,681",407,"$7,190.00",9.70%,$686.30,58.80%,"$4,465.00","$12,858.00",2018
396,Darden Restaurants,"178,729",385,"$7,170.00",3.40%,$479.10,27.80%,"$5,504.00","$10,531.00",2018
397,Yum China Holdings,"450,000",399,"$7,144.00",5.80%,$403.00,-19.70%,"$4,263.00","$16,009.00",2018
398,Blackstone Group,"2,360",503,"$7,119.00",38.90%,"$1,470.80",41.50%,"$34,429.00","$21,058.00",2018
399,Berry Global Group,"23,000",413,"$7,095.00",9.30%,$340.00,44.10%,"$8,476.00","$7,191.00",2018
400,Builders FirstSource,"15,000",421,"$7,034.00",10.50%,$38.80,-73.10%,"$3,006.00","$2,264.00",2018
401,Activision Blizzard,"9,800",406,"$7,017.00",6.20%,$273.00,-71.70%,"$18,668.00","$51,177.00",2018
402,JetBlue Airways,"17,424",403,"$7,015.00",5.80%,"$1,147.00",51.10%,"$9,781.00","$6,540.00",2018
403,Amphenol,"70,000",424,"$7,011.00",11.50%,$650.50,-21.00%,"$10,004.00","$26,311.00",2018
404,A-Mark Precious Metals,126,395,"$6,990.00",3.00%,$7.10,-23.60%,$479.00,$86.00,2018
405,Spirit AeroSystems Holdings,"15,500",393,"$6,983.00",2.80%,$354.90,-24.40%,"$5,268.00","$9,595.00",2018
406,R.R. Donnelley & Sons,"42,700",388,"$6,940.00",0.60%,-$34.40,-,"$3,905.00",$612.00,2018
407,Harris,"17,000",363,"$6,939.00",-7.80%,$553.00,70.70%,"$10,090.00","$19,149.00",2018
408,Expeditors Intl. of Washington,"16,500",429,"$6,921.00",13.50%,$489.30,13.60%,"$3,117.00","$11,087.00",2018
409,Discovery,"7,000",412,"$6,873.00",5.80%,-$337.00,-128.20%,"$22,555.00","$11,156.00",2018
410,Owens-Illinois,"26,500",401,"$6,869.00",2.50%,$180.00,-13.90%,"$9,756.00","$3,538.00",2018
411,Sanmina,"41,250",414,"$6,869.00",6.00%,$138.80,-26.10%,"$3,847.00","$1,863.00",2018
412,KeyCorp,"18,415",479,"$6,868.00",26.70%,"$1,296.00",63.80%,"$137,698.00","$20,570.00",2018
413,American Financial Group,"7,600",411,"$6,865.00",5.60%,$475.00,-26.80%,"$60,658.00","$9,923.00",2018
414,Oshkosh,"14,000",425,"$6,830.00",8.80%,$285.60,32.00%,"$5,099.00","$5,768.00",2018
415,Rockwell Collins,"29,000",492,"$6,822.00",29.70%,$705.00,-3.20%,"$17,997.00","$22,108.00",2018
416,Kindred Healthcare,"64,200",376,"$6,768.00",-6.40%,-$698.40,-,"$5,233.00",$836.00,2018
417,Insight Enterprises,"6,697",473,"$6,704.00",22.20%,$90.70,7.10%,"$2,686.00","$1,252.00",2018
418,Dr Pepper Snapple Group,"21,000",416,"$6,690.00",3.90%,"$1,076.00",27.00%,"$10,022.00","$21,278.00",2018
419,American Tower,"4,752",449,"$6,664.00",15.20%,"$1,238.90",29.50%,"$33,214.00","$64,073.00",2018
420,Fortive,"26,000",-,"$6,656.00",-,"$1,044.50",-,"$10,501.00","$26,979.00",2018
421,Ralph Lauren,"18,250",371,"$6,653.00",-10.20%,-$99.30,-125.10%,"$5,652.00","$9,088.00",2018
422,Spectrum Brands Holdings,"17,113",418,"$6,650.00",3.90%,$106.00,-,"$35,850.00","$3,328.00",2018
423,Ascena Retail Group,"40,000",384,"$6,650.00",-4.90%,"-$1,067.30",-,"$3,872.00",$394.00,2018
424,United Rentals,"14,800",452,"$6,641.00",15.30%,"$1,346.00",137.80%,"$15,030.00","$14,537.00",2018
425,Casey’s General Stores,"25,463",423,"$6,641.00",5.30%,$177.50,-21.50%,"$3,020.00","$4,120.00",2018
426,Graybar Electric,"8,500",420,"$6,631.00",3.90%,$71.60,-23.10%,"$2,261.00",-,2018
427,Avery Dennison,"30,000",430,"$6,614.00",8.70%,$281.80,-12.10%,"$5,137.00","$9,361.00",2018
428,MasTec,"17,300",502,"$6,607.00",28.70%,$347.20,164.50%,"$4,067.00","$3,874.00",2018
429,CMS Energy,"7,887",419,"$6,583.00",2.90%,$460.00,-16.50%,"$23,050.00","$12,793.00",2018
430,HD Supply Holdings,"11,000",364,"$6,534.00",-13.20%,$970.00,394.90%,"$4,318.00","$7,040.00",2018
431,Raymond James Financial,"12,700",469,"$6,525.00",18.20%,$636.20,20.20%,"$34,884.00","$13,019.00",2018
432,NCR,"34,000",409,"$6,516.00",-0.40%,$232.00,-14.10%,"$7,654.00","$3,737.00",2018
433,Hanesbrands,"67,200",432,"$6,478.00",6.90%,$61.90,-88.50%,"$6,895.00","$6,638.00",2018
434,Asbury Automotive Group,"8,000",410,"$6,457.00",-1.10%,$139.10,-16.80%,"$2,357.00","$1,412.00",2018
